PREFERRED_AB	EXPANSION
AE	atopic eczema
AE	avian encephalomyelitis
AH	abdominal hysterectomy
AH	abductor hallucis
AH	absolute humidity
AH	absorptive hypercalciuria
AH	adenoid hypertrophy
AH	adenomatous hyperplasia
AH	adult height
AH	alcoholic hepatitis
AH	alveolar hemorrhage
AH	ancestral haplotype
AH	aniline hydrochloride
AH	anterior horn
AH	anterior hypothalamic
AH	aqueous humour
AH	artificial heart
AH	assisted hatching
AH	ataxic hemiparesis
AH	atriohis
AH	atypical hyperplasia
AH	autonomic hyperreflexia
AH	paf acetylhydrolase
AH	patients with acute hepatitis
AH	rat ascites hepatoma
AI	acute ileus
AI	adequate intake
AI	adrenal incidentalomas
AI	adrenal insufficiency
AI	amelogenesis imperfecta
AI	anchorageindependent
AI	aortic incompetence
AI	aortic insufficiency
AI	apoptotic
AI	apoptotic index
AI	artificial intelligence
AI	artificially inseminated
AI	associationinduction
AI	astragalus injection
AI	primary auditory area
AI	primary auditory field
AL	acute leukaemia
AL	ad lib
AL	ad libitum
AL	adductor longus
AL	amyotrophic leukospongiosis
AL	annulate lamellae
AL	antennal lobe
AL	anterior lobe
AL	anterolateral
AL	argon laser
AL	assisted living
AL	attachment levels
AL	atypical lymphocytes
AL	axial length
AL	lateral nucleus of amygdala
AL	ligament
AL	light chain amyloidosis
AL	patients with primary amyloidosis
AL	primary systemic amyloidosis
AM	acetoxymethyl
AM	acetoxymethyl ester
AM	actomyosin
AM	adrenal medulla
AM	alternative medicine
AM	alveolar
AM	ambulatory monitoring
AM	amniotic membrane
AM	amplitude modulated
AM	amplitude modulation
AM	amygdaloid
AM	anteromedial
AM	anteromedial nucleus
AM	apparent motion
AM	arbuscular mycorrhiza
AM	arbuscular mycorrhizal
AM	arithmetic mean
AM	artemether
AM	aseptic meningitis
AM	astragalus membranaceus
AM	autobiographical memory
AM	sinusoidally amplitudemodulated
AO	acridine orange
AO	active oxygen
AO	adaptive optics
AO	adultonset
AO	adverse outcome
AO	age of onset
AO	airway obstruction
AO	albino oxford
AO	aldehyde oxidase
AO	antisense oligonucleotide
AO	aortic output
AO	aqueous oxygen
AO	arterial occlusion
AP	abasic
AP	absolute pitch
AP	absolute power
AP	accelerated phase
AP	accessory processes
AP	accumulation of caminopyrine
AP	actinic prurigo
AP	activation peptide
AP	acupuncture
AP	acute pancreatitis
AP	acute pneumonia
AP	adaptor protein
AP	adductor pollicis
AP	adult periodontitis
AP	aerosolized pentamidine
AP	alpha antiplasmin
AP	alternative pathway
AP	alveolar permeability
AP	ammonium perchlorate
AP	amyloid p
AP	anaphylactoid purpura
AP	angina pectoris
AP	annular pancreas
AP	anterior pagoda
AP	anterior to posterior
AP	anteriorposterior
AP	antigen presentation
AP	antiplasmin
AP	antipsychotic
AP	antipyrine
AP	apatite
AP	apomorphine
AP	apurinic
AP	area postrema
AP	artificial perilymph
AP	ascorbyl palmitate
AP	asthmatic patients
AP	autologous plasma
AP	available p
AP	available phosphorus
AP	average power
AR	access recirculation
AR	acid resistance
AR	acoustic reflex
AR	acoustic rhinometry
AR	acrosomereacted
AR	active recovery
AR	active renin
AR	acute allograft rejection
AR	acute rejection
AR	adaptive response
AR	adrenoceptor
AR	airway reactivity
AR	airway responsiveness
AR	allergic rhinitis
AR	amphiregulin
AR	anaphylactoid reactions
AR	androgen receptor gene
AR	anhydroretinol
AR	anterior resection
AR	antigen retrieval
AR	aortic regurgitation
AR	apoptotic rate
AR	applied relaxation
AR	artificially reared
AR	aspect ratio
AR	atrophic rhinitis
AR	attributable risk
AR	augmented reality
AR	autoregressive
AR	autoregulation
AR	autosomal recessive
AS	absence seizures
AS	acetosyringone
AS	active
AS	actual survival
AS	actuarial survival
AS	affective style
AS	aggregation substance
AS	alkaline secretion
AS	alphasynuclein
AS	alport syndrome
AS	alternative splicing
AS	ammonium sulfate
AS	ammonium sulphate
AS	anabolic steroids
AS	anaphylactic shock
AS	androgen suppression
AS	angelis salt
AS	angiosarcoma
AS	ankylosing spondylarthritis
AS	antisaccades
AS	antisense
AS	antiserum
AS	anxiety sensitivity
AS	argininosuccinate synthase
AS	arteriosclerosis
AS	artificial saliva
AS	asparagine synthetase
AS	assisted suicide
AS	atherosclerotic
AS	autologous serum
AS	plasmodium chabaudi chabaudi
AS	sickle trait
AS	stress
AT	acceleration time
AT	acetyltransferase
AT	achilles tendon
AT	activation time
AT	active tension
AT	adeninethymine
AT	adipose tissue
AT	alopecia totalis
AT	ambient temperature
AT	anterior tibialis
AT	antithrombin
AT	area tempestas
AT	assistive technology
AT	atrial tachycardia
AT	autogenic training
AT	catalase inhibitor aminotriazole
BA	bacillary angiomatosis
BA	background activity
BA	basilar
BA	benzaldehyde
BA	benzamide
BA	benzoic acid
BA	benzyl alcohol
BA	biliary atresia
BA	bioavailability
BA	biogenic amines
BA	blood agar
BA	bone age
BA	brachial artery
BA	bronchial asthma
BA	butyl acrylate
BA	butyric acid
BA	lymphoma cell bioassay
BA	mgl benzylaminopurine
BA	nbenzyladenine
BA	nbutyl acrylate
BC	bacitracin
BC	bacterial cellulose
BC	basaloid carcinoma
BC	basic copy
BC	bile canaliculi
BC	biliary complications
BC	biochemical control
BC	biotin carboxylase
BC	biventer cervicis
BC	black carbon
BC	bladder capacity
BC	blast crisis
BC	blastic crisis
BC	body composition
BC	body condition
BC	brachium conjunctivum
BC	bronchoconstriction
BC	bronchogenic cyst
BC	bulbocavernosus
BD	basal diet
BD	base deficit
BD	behcets disease
BD	bicarbonate dialysis
BD	biotinylated dextran
BD	bladder drainage
BD	body dissatisfaction
BD	bone density
BD	bony defect
BD	brain death
BD	brownian dynamics
BL	bacterial levan
BL	basal lamina
BL	bilateral
BL	blood loss
BL	blood lymphocytes
BL	blue light
BL	body length
BL	bone loss
BL	borderline
BL	borderline lepromatous
BL	borderline lepromatous leprosy
BL	brassinolide
BL	bright light
BL	bronchial lavage
BM	bacterial meningitis
BM	barretts metaplasia
BM	basal medium
BM	biological monitoring
BM	blood meal
BM	bone metastases
BM	bone metastasis
BM	brain metastases
BM	breast milk
BM	bronchial mucosa
BM	buccal mucosa
BP	backpropagation
BP	bacterial pneumonia
BP	basilar papilla
BP	beet pulp
BP	bells palsy
BP	bench press
BP	benzapyrene
BP	benzoapyrene
BP	benzophenone
BP	bereitschaftspotential
BP	binding potential
BP	biphenyl
BP	bipolar
BP	blastic phase
BP	blood plasma
BP	bodily pain
BP	bovine pericardium
BP	bowenoid papulosis
BP	brachial plexus
BP	brevipedicellus
BP	british pharmacopoeia
BP	bullous pemphigoid
BP	hbenzoapyrene
BP	metabolism of benzoapyrene
BP	myelin basic protein
BP	systolic and diastolic blood pressures
BP	total biopterin
BR	balbiani ring
BR	base rate
BR	basic region
BR	bed rest
BR	benzamide riboside
BR	biochemical response
BR	blink rate
BR	blink reflex
BR	bone resorption
BR	brassinosteroid
BR	breathing rate
BR	bronchial reactivity
BS	bjorkshiley
BS	black smoke
BS	blasticidin s
BS	blood serum
BS	blood sugar
BS	body surface
BS	bone scan
BS	bone scintigraphy
BS	borg scale
BS	brain stem
BS	brainstem
BS	bronchial secretions
BS	bulbospongiosus
BS	bundle sheath
BS	bursting strength
BT	bacterial translocation
BT	beef tallow
BT	behavior therapy
BT	benzenetriol
BT	bioavailable testosterone
BT	blast transformation
BT	blastic transformation
BT	bleeding time
BT	borderline tuberculoid
BT	borderline tuberculoid leprosy
BT	bovine trypsin
BT	bovine turbinate
BT	brain tumors
BT	bretylium tosylate
BT	modified blalocktaussig
CA	abnormalities
CA	assay
CA	caffeic acid
CA	cancer
CA	cancer antigen
CA	candida albicans
CA	capsid
CA	carbonate apatite
CA	cardiac arrest
CA	catecholaminergic
CA	catheter ablation
CA	caucasian american
CA	cellular automata
CA	cellular automaton
CA	cellulose acetate
CA	cerebellar atrophy
CA	cerebral atrophy
CA	cerebral autoregulation
CA	choanal atresia
CA	cholate
CA	cholic
CA	chronological age
CA	cluster analysis
CA	cobblestone areas
CA	cochlear aqueduct
CA	coldacclimated
CA	coldacclimated rats
CA	communityacquired
CA	condyloma acuminata
CA	condyloma acuminatum
CA	condylomata acuminata
CA	congruence angle
CA	conjoint analysis
CA	constitutively active
CA	contact angle
CA	contrast arteriography
CA	controlled atmosphere
CA	conventional angiography
CA	conventional arteriography
CA	conversation analysis
CA	cornu ammonis
CA	corpora allata
CA	corpora amylacea
CA	corpus allatum
CA	correspondence analysis
CA	cortical area
CA	cortisone acetate
CA	cytosine arabinoside
CA	highly polymorphic
CA	plasma catecholamines
CA	weeks of conceptional age
CB	branch
CB	calciumbinding proteins calbindin
CB	carbon black
CB	centroblastic
CB	chlorobenzene
CB	chronic bronchitis
CB	clenbuterol
CB	cocoa butter
CB	cognitivebehavioral
CB	conduction block
CB	cord blood
CB	core biopsy
CB	covalent binding
CB	cuprolinic blue
CB	cutting balloon
CC	cage control
CC	calf circumference
CC	cell culture
CC	central complex
CC	centrocytic
CC	cervical cancer
CC	cervical carcinoma
CC	chest circumference
CC	cholangiocarcinomas
CC	choledochal cyst
CC	chondrocalcinosis
CC	choriocapillaris
CC	choriocarcinoma
CC	clear cell
CC	clomiphene
CC	closing capacity
CC	coiledcoil
CC	collagenous colitis
CC	colloidal carbon
CC	colon cancer
CC	colorectal cancer
CC	community care
CC	complete chimerism
CC	complete donor chimerism
CC	compliance coefficient
CC	contractile component
CC	conventional chemotherapy
CC	conventional cholecystectomy
CC	conventional colonoscopy
CC	conventional cytogenetics
CC	coronary calcification
CC	coronary calcium
CC	corpora cardiaca
CC	corpora cavernosa
CC	corpus callosum
CC	corpus cardiacum
CC	corpus cavernosum
CC	crosscorrelation
CC	crosssectional compliance
CC	cryptogenic cirrhosis
CC	cyclocytidine
CD	alphacyclodextrin
CD	cadaver donor
CD	campomelic dysplasia
CD	capillary density
CD	carbidopa
CD	cardiac death
CD	cardiac denervation
CD	cardiacdenervated
CD	catalytic domain
CD	cerebellar degeneration
CD	cervical dystonia
CD	cesarean delivery
CD	characteristic delay
CD	chlordecone
CD	choline deficiency
CD	cholinedevoid
CD	choroidal detachment
CD	circular dichroic
CD	circular dichroism spectroscopy
CD	clostridium difficile
CD	cluster designation
CD	cocaine dependent
CD	coefficient of dispersion
CD	colloidal dispersion
CD	color doppler
CD	colostrumdeprived
CD	communication deviance
CD	compact disc
CD	compact disk
CD	conduction delay
CD	contact dermatitis
CD	contrastdetail
CD	cool dry
CD	coronary diameter
CD	cortical dysplasia
CD	cotreldubousset
CD	crohns disease
CD	cumulative dose
CD	cytosine deaminase
CD	rats fed a cholinedeficient
CE	california encephalitis
CE	capillary electrophoretic
CE	capsule endoscopy
CE	carbohydrateelectrolyte
CE	carboplatin and etoposide
CE	cardiac events
CE	carotid endarterectomy
CE	carpentieredwards
CE	cataract extraction
CE	catechol estrogens
CE	cell extracts
CE	central
CE	centrifugal elutriation
CE	chemoembolization
CE	chest expansion
CE	chicken embryo
CE	cholesterol ester
CE	ciliary epithelium
CE	clinical engineering
CE	clinical examination
CE	cloning efficiency
CE	coefficient of error
CE	cold exposure
CE	collection efficiency
CE	combinatorial extension
CE	competitive exclusion
CE	constant estrous
CE	constant estrus
CE	continuing education
CE	contractile element
CE	contrast echocardiography
CE	contrast enema
CE	contrast enhancement
CE	converting enzyme
CE	corneal endothelial
CE	cornified envelope
CE	crude extract
CE	cycle ergometer
CE	cycle ergometry
CE	cystic echinococcosis
CE	cytochalasin e
CE	liver carboxylesterase
CF	canadian forces
CF	cardiac failure
CF	cascade filtration
CF	case fatality
CF	cationic ferritin
CF	cationized ferritin
CF	cellfree
CF	charcoalfiltered air
CF	chicken fat
CF	chloroform
CF	chronic fatigue
CF	clastogenic factors
CF	climbing fibre
CF	coelomic fluid
CF	colostrumfed
CF	complement fixation test
CF	concentration factors
CF	constantfrequency
CF	continuousflow
CF	contractile force
CF	conventional fractionation
CF	coronary flow
CF	cortical fibroblasts
CF	counting fingers
CF	crevicular fluid
CF	crude fiber
CF	crude fibre
CF	culture filtrate
CF	cytosolic fraction
CF	cytotoxic factor
CF	folinic acid
CF	function
CG	capsular glaucoma
CG	cardiac glycosides
CG	catechin gallate
CG	central gray
CG	centre of gravity
CG	cerebral ganglia
CG	cholylglycine
CG	choriogonadotropin
CG	chromogranin
CG	ciliary ganglia
CG	ciliary ganglion
CG	coagulating gland
CG	cockcroftgault
CG	collapsing glomerulopathy
CG	colloidal gold
CG	computer graphics
CG	conjugate gradient
CG	cryoglobulins
CG	cycloguanil
CG	groups
CG	porous collagenglycosaminoglycan
CH	calponin homology
CH	cardiac hypertrophy
CH	central hemodynamics
CH	cerebral hemispheres
CH	cerebral hemorrhage
CH	chediakhigashi
CH	chloral hydrate
CH	chronic hepatitis
CH	chronic hypoxia
CH	chronically hypoxic
CH	cluster headache
CH	community hospital
CH	concentric hypertrophy
CH	congenital hydrocephalus
CH	congenital hypothyroid
CH	crypt height
CH	cyclic hematopoiesis
CH	heavy chain constant
CH	heavy chain constant region
CI	carbonyl iron
CI	cationindependent
CI	cerebral infarct
CI	cervical incompetence
CI	chemical intolerance
CI	chilling injury
CI	chronotropic incompetence
CI	cochlear implantation
CI	cold ischemia
CI	colloidal iron
CI	conditioned inhibition
CI	configuration interaction
CI	constraintinduced
CI	continuous improvement
CI	conventional imaging
CI	convergence insufficiency
CI	cumulative incidence
CI	cylindrical inclusion
CI	cytoplasmic inclusion
CI	cytoplasmic incompatibility
CL	cardiolipin
CL	cathodoluminescence
CL	central lateral
CL	central lateral nucleus
CL	centralis lateralis
CL	chemiluminescence
CL	chemiluminescence response
CL	chemiluminescent
CL	chemoluminescence
CL	chromosome loss
CL	clearance rate
CL	cleft lip
CL	confidence level
CL	contralateral
CL	control line
CL	coriaria lactone
CL	corpus luteum
CL	crithidia luciliae
CL	cutaneous leishmaniasis
CL	epsiloncaprolactone
CL	liver
CL	lung compliance
CL	lymph
CL	lymph protein concentration
CL	patients with cholelithiasis
CL	total plasma clearance
CM	canola meal
CM	carbomedics
CM	carboxymethyl
CM	cardiac mucosa
CM	cardiac myosin
CM	cardiomyocyte
CM	cardiomyopathic
CM	cell membrane
CM	center of mass
CM	centromedian
CM	centromedian nucleus
CM	centrum medianum
CM	cerebral malaria
CM	cervical mucus
CM	chiari malformation
CM	chloroformmethanol
CM	chorismate mutase
CM	chronic migraine
CM	ciliary muscle
CM	clinical mastitis
CM	common migraine
CM	complementary medicine
CM	complete hydatidiform mole
CM	complete mole
CM	congenital malformations
CM	consistent mapping
CM	contingency management
CM	contrast material
CM	corticomotoneuronal
CM	cows milk
CM	cryptococcal meningitis
CM	culture material
CM	cutaneous melanoma
CM	cytokine mixture
CM	cytoplasmic membrane
CM	media conditioned
CM	medium conditioned
CM	membranes
CM	neonatal rat cardiac myocytes
CM	neonatal rat cardiomyocytes
CM	vivo confocal microscopy
CN	caudate nuclei
CN	cavernous nerve
CN	cerebellar nuclei
CN	chloroacetophenone
CN	cochlear nerve
CN	cochlear nuclear complex
CN	cochlear nuclei
CN	cochlear nucleus
CN	cognitively normal
CN	congenital neutropenia
CN	congenital nystagmus
CN	contrast nephropathy
CN	coordination number
CN	criglernajjar
CN	cyanopropyl
CN	cyclic neutropenia
CN	cyclic nucleotides
CN	necrosis
CP	c peptide
CP	campylobacter pylori
CP	campylobacter pyloridis
CP	canal paresis
CP	cancer procoagulant
CP	capsular polysaccharide
CP	carbamide peroxide
CP	carbopol p
CP	carboxypeptidase
CP	cardioplegia
CP	cardiopulmonary
CP	categorical perception
CP	cationic proteins
CP	cellulose powder
CP	center of pressure
CP	centre of pressure
CP	centrifugal pump
CP	cerebellopontine
CP	cerebral palsy
CP	cerebral peduncle
CP	chest pain
CP	chloropicrin
CP	chlorphentermine
CP	chlorpropamide
CP	cholestasis of pregnancy
CP	chronic pain
CP	chronic pancreatitis
CP	chronic periodontitis
CP	chronic phase
CP	chronic progressive
CP	chronic prostatitis
CP	cicatricial pemphigoid
CP	ciliary processes
CP	classical
CP	classical pathway
CP	cleft palate
CP	clobetasol propionate
CP	clostridium perfringens
CP	coat protein
CP	coat protein gene
CP	cold pressor
CP	common peroneal
CP	constrictive pericarditis
CP	control patients
CP	cor pulmonale
CP	core particle
CP	cortical plate
CP	cricopharyngeal
CP	cricopharyngeus
CP	critical power
CP	crude protein
CP	cryopreserved
CP	cyclophosphane
CP	cysteine proteinase
CP	polymer
CR	cajalretzius
CR	calciumbinding protein calretinin
CR	caloric restriction
CR	calorie restriction
CR	calorierestricted
CR	capturerecapture
CR	cardiac rehabilitation
CR	cardiac rupture
CR	cardiorespiratory
CR	cariesresistant
CR	centric relation
CR	charge recombination
CR	charles river
CR	chronic rejection
CR	circadian rhythm
CR	cockroach
CR	cognitive reserve
CR	colonization resistance
CR	complete
CR	complete regression
CR	complete remission rate
CR	complete response rate
CR	completely
CR	composite resin
CR	compression ratio
CR	computed radiographic
CR	computed radiography
CR	concentrationresponse
CR	conditioned reinforcement
CR	conditioned reward
CR	congo red
CR	constant routine
CR	contractile reserve
CR	conventional radiology
CR	coronary risk
CR	cortical reaction
CR	corticosteroidresistant
CR	crossreactive
CR	crownrump
CR	cysteinerich
CR	czech republic
CR	reactivity
CR	remodeling
CS	calf serum
CS	campaniform sensilla
CS	carcinosarcoma
CS	cardiac surgery
CS	cardiogenic shock
CS	carotid stenting
CS	casein
CS	cavernous sinus
CS	celiac sprue
CS	cell saver
CS	central sulcus
CS	cervical spondylosis
CS	cervical stimulation
CS	charge separation
CS	chemical shift
CS	chinese spring
CS	cholesterol sulfate
CS	chondroitin sulphate
CS	chondrosarcoma
CS	chorionic somatomammotropin
CS	chromogenic substrate
CS	chronic sinusitis
CS	cigarette smoke
CS	cigarette smoking
CS	citrate synthetase
CS	clinical score
CS	clinical supervision
CS	cold storage
CS	cold stress
CS	completed stroke
CS	complex spike
CS	compressive strength
CS	conditioned
CS	conditioning stimulation
CS	conduction system
CS	congenital syphilis
CS	conscious sedation
CS	conservative surgery
CS	contact sensitivity
CS	cordyceps sinensis
CS	corn silage
CS	corn starch
CS	cornsoybean meal diet
CS	coronary sinus
CS	coronary stenosis
CS	coronary stenting
CS	corpus striatum
CS	corpuscles of stannius
CS	corticospinal
CS	corticosteroidsensitive
CS	cromolyn sodium
CS	current smokers
CS	hb constant spring
CS	light
CS	ochlorobenzylidene malononitrile
CS	patients with cerebral stroke
CS	patients with cushings syndrome
CS	plasma corticosterone
CS	plasmodium falciparum circumsporozoite
CS	saccharin
CS	sensitive
CS	sequence
CS	sites
CS	steroids
CS	strain
CT	alone
CT	calf thymus
CT	carboxyl terminus
CT	cardiac tamponade
CT	cardiac transplantation
CT	celiac trunk
CT	central tendon
CT	cerebral toxoplasmosis
CT	charge transport
CT	chest tube
CT	chlamydia
CT	cholera enterotoxin
CT	chorda tympani
CT	chronic tonsillitis
CT	clinical trial
CT	closure time
CT	cognitive therapy
CT	collecting tubule
CT	computed tomograph
CT	computed tomographic scanning
CT	computed tomography scanning
CT	computed tomograpy
CT	computerized tomograph
CT	computerized tomographic
CT	condensed tannins
CT	congenital toxoplasmosis
CT	connecticut
CT	conservative treatment
CT	conventional treatment
CT	corneal thickness
CT	cortical thickness
CT	corticothalamic
CT	counseling and testing
CT	countertransport
CT	cricothyroid
CT	cricothyroid muscle
CT	crista terminalis
CT	critical thinking
CT	cterminal
CT	cytoplasmic tail
CT	twitch contraction time
DA	degree of acetylation
DA	delayed alternation
DA	diagnostic accuracy
DA	dielsalder
DA	diffuse adherence
DA	digital angiography
DA	direct agglutination
DA	directional asymmetry
DA	directional atherectomy
DA	discriminant analysis
DA	displaced abomasum
DA	dissecting aneurysm
DA	divided attention
DA	dopaminergic
DA	dorsal aorta
DA	ductus arteriosus
DA	duodenal atresia
DA	release of hdopamine
DD	constant dark
DD	constant darkness
DD	constant dim red light
DD	continuous darkness
DD	death domain
DD	degree of deacetylation
DD	delayed depolarization
DD	deletion allele
DD	delusional disorder
DD	density dependence
DD	developmental disabilities
DD	developmental dyslexia
DD	diastolic depolarization
DD	diastolic diameter
DD	diastolic dysfunction
DD	dibenzopdioxin
DD	differential display
DD	digital dermatitis
DD	disc diameters
DD	disc displacement
DD	disk diffusion
DD	diverticular disease
DD	dopaminedeficient
DD	doubling doses
DD	drug discrimination
DD	duchenne dystrophy
DD	dysthymic disorder
DF	ankle dorsiflexors
DF	defibrotide
DF	delayed fluorescence
DF	dengue fever
DF	deposition fraction
DF	dermal fibroblasts
DF	dermatofibroma
DF	developed force
DF	dialysis fluid
DF	dibenzofuran
DF	dietary fiber
DF	dietary fibre
DF	diflunisal
DF	discriminant function
DF	dominant follicle
DF	dominant frequency
DF	dorsiflexion
DM	defined medium
DM	deltamethrin
DM	dermorphin
DM	descemets membrane
DM	desmoplastic melanoma
DM	diabetic group
DM	differentiation medium
DM	disease management
DM	dorsal medulla
DM	dorsomedial medulla
DM	doublemuscled
DM	dry mass
DM	dry matter
DM	dura mater
DM	dystrophia myotonica
DM	hladm
DM	patients with dermatomyositis
DM	patients with diabetes mellitus
DP	degree of polymerisation
DP	delayed puberty
DP	delusional parasitosis
DP	dermal papilla
DP	desmoplakin
DP	directed percolation
DP	directional preponderance
DP	disopyramide
DP	disopyramide phosphate
DP	distal pancreatectomy
DP	distortion product
DP	dorsal prostate
DP	double positive
DP	double potential
DP	double product
DP	dynamic programming
DP	pattern
DR	dahl saltresistant rats
DR	darkreared
DR	death receptor
DR	delayed response
DR	delivery room
DR	detection rate
DR	diabetes resistant
DR	diabetic retinopathy
DR	diameter reduction
DR	dietary records
DR	dietary restricted
DR	dietary restriction
DR	dietrestricted
DR	digital radiography
DR	distal radius
DR	dose ratios
DR	doseresponse
DR	drug resistance
DR	drugresistant
DR	dynamic range
DR	hladr
DS	dahl saltsensitive hypertensive
DS	dahl saltsensitive rats
DS	depressive symptoms
DS	dermatan sulfate
DS	dermatan sulphate
DS	desynchronized sleep
DS	dextran sulfate
DS	diagnostic score
DS	diameter stenosis
DS	diazepamsensitive
DS	digital subtraction
DS	direct stenting
DS	direction selectivity
DS	directional selectivity
DS	directionally selective
DS	disseminated sclerosis
DS	distribution space
DS	doppler sonography
DS	duodenal switch
DS	duplex sonography
DS	dyad symmetry
EA	early amniocentesis
EA	early antigens
EA	effect of electroacupuncture
EA	effort angina
EA	egg albumin
EA	ehrlich ascites
EA	electrical activity
EA	electron affinity
EA	ellagic acid
EA	endometrial ablation
EA	entorhinal area
EA	epidural anaesthesia
EA	epidural anesthesia
EA	epileptiform activity
EA	erythrocyte
EA	erythrocyte aggregation
EA	erythrocyteantibody
EA	erythromycin acistrate
EA	esophageal atresia
EA	ethyl acetate
EA	ethyl acrylate
EA	evolutionary algorithm
EA	igg antibodies
EA	sensitized sheep erythrocytes
EC	committee
EC	complex environment
EC	ecadherin
EC	electrochemical
EC	electron capture
EC	elimination capacity
EC	elongation complex
EC	emergency contraception
EC	emulsifiable concentrate
EC	endochondral
EC	endometrial cancer
EC	endothelial
EC	endothelium
EC	energy charge
EC	energy cost
EC	enkephalincontaining
EC	enriched
EC	enriched condition
EC	entericcoated
EC	enterochromaffin
EC	enzyme commission
EC	eosinophilic cystitis
EC	epicatechin
EC	esophageal cancer
EC	esophageal candidiasis
EC	ethyl carbamate
EC	ethyl cellulose
EC	ethylcellulose
EC	eurocollins
EC	european commission
EC	european community
ED	deprivation
ED	early distal
ED	effector domain
ED	electrodialysis
ED	elemental diet
ED	endogenous depression
ED	endolymphatic duct
ED	energy density
ED	enteric drainage
ED	entnerdoudoroff
ED	enumeration district
ED	epithelial dysplasia
ED	equilibrium dialysis
ED	erectile dysfunction
ED	erythrocyte deformability
ED	essential dynamics
ED	external diameter
EE	alphaethinylestradiol
EE	emotional exhaustion
EE	encapsulation efficiency
EE	endocardial endothelial
EE	endocardial endothelium
EE	endtoend
EE	enriched environment
EE	environmental enrichment
EE	eosinophilic esophagitis
EE	erosive esophagitis
EE	erythromycin estolate
EE	ether extract
EE	exercise echocardiography
EE	exoerythrocytic
EE	expressed emotion
EM	egg mass
EM	elastic modulus
EM	electromagnetic
EM	electron micrographs
EM	electron microscope
EM	electron microscopical
EM	electronmicroscopy
EM	emergency medicine
EM	endometriosis
EM	epidural morphine
EM	episodic memory
EM	ergonovine maleate
EM	erythema migrans
EM	erythema multiforme
EM	erythrocyte membrane
EM	esophageal manometry
EM	estramustine
EM	ethylmorphine
EM	extracellular matrix
EM	extramedullary
EM	eye movement
EM	eye muscle
EP	early phase
EP	egg production
EP	electrophysiologic
EP	electrophysiological
EP	electrophysiology
EP	emergency physician
EP	encephalitogenic peptide
EP	endocochlear potential
EP	endocrineparacrine
EP	endogenous pyrogen
EP	enzootic pneumonia
EP	eosinophilic pneumonia
EP	eprostanoid
EP	equilibrium point
EP	escape protein
EP	estrogenprogesterone
EP	etoposide and cisplatin
EP	etoposide phosphate
EP	etoposide plus cisplatin
EP	pge receptors
EP	phosphoenzyme
EP	phosphoenzyme intermediate
EP	phosphorylated intermediate
EP	vivo electroporation
ER	electrical resistance
ER	electrorheological
ER	emergency room
ER	endoplasmic reticular
ER	endoscopic resection
ER	energy restriction
ER	energy retention
ER	energyrestricted
ER	enhanced reactivation
ER	estrogen receptor status
ER	external rotation
ER	extraction ratio
ER	oestrogen receptor status
ER	oestrogen receptors
ES	ectoplasmic specialization
ES	electrically stimulated
ES	electrostimulation
ES	embolic signals
